Date,Sun-Rise-Time,Sun-Set-Time,Total-Sun-Time,Moon-Rise-1-Time,Moon-Set-1-Time,Moon-Rise-2-Time,Moon-Set-2-Time,Total-Moon-Time,Overlap-Sun-Moon-Start-Time,Overlap-Sun-Moon-End-Time,Total-Overlap-Time,No-Moon-No-Sun-Start-Time,No-Moon-No-Sun-End-Time,Total-No-Moon-No-Sun-Time,Total-Sun-Days,Total-Moon-Days,Total-Overlap-Days,Total-No-Sun-No-Moon-Days
2000-03-31,08:00:00,17:51:50,9:51:50,,,,,0:00:00,,,0:00:00,00:00:00,00:00:00,14:08:10,,,,
2000-04-01,08:07:16,17:44:01,9:36:46,,,,,0:00:00,,,0:00:00,00:00:00,00:00:00,14:23:14,,,,
2000-04-02,08:14:35,17:36:09,9:21:34,,20:39:00,,,20:39:00,08:14:35,17:36:09,9:21:34,20:39:00,00:00:00,3:21:00,,,,
2000-04-03,08:21:59,17:28:13,9:06:14,02:25:00,19:39:00,,,17:14:00,08:21:59,17:28:13,9:06:14,00:00:00,00:00:00,6:46:00,,,,
2000-04-04,08:29:28,17:20:12,8:50:44,05:10:00,18:53:00,,,13:43:00,08:29:28,17:20:12,8:50:44,00:00:00,00:00:00,10:17:00,,,,
2000-04-05,08:37:03,17:12:06,8:35:04,07:45:00,18:07:00,,,10:22:00,08:37:03,17:12:06,8:35:04,00:00:00,00:00:00,13:38:00,,,,
2000-04-06,08:44:44,17:03:54,8:19:10,,17:08:00,,,17:08:00,08:44:44,17:03:54,8:19:10,17:08:00,00:00:00,6:52:00,,,,
2000-04-07,08:52:32,16:55:35,8:03:03,,,,,0:00:00,,,0:00:00,00:00:00,00:00:00,15:56:57,,,,
2000-04-08,09:00:28,16:47:08,7:46:40,,,,,0:00:00,,,0:00:00,00:00:00,00:00:00,16:13:20,,,,
2000-04-09,09:08:34,16:38:32,7:29:58,,,,,0:00:00,,,0:00:00,00:00:00,00:00:00,16:30:02,,,,
2000-04-10,09:16:50,16:29:46,7:12:56,,,,,0:00:00,,,0:00:00,00:00:00,00:00:00,16:47:04,,,,
2000-04-11,09:25:18,16:20:48,6:55:30,,,,,0:00:00,,,0:00:00,00:00:00,00:00:00,17:04:30,,,,
2000-04-12,09:34:00,16:11:37,6:37:37,,,,,0:00:00,,,0:00:00,00:00:00,00:00:00,17:22:23,,,,
2000-04-13,09:42:59,16:02:11,6:19:12,,,,,0:00:00,,,0:00:00,00:00:00,00:00:00,17:40:48,,,,
2000-04-14,09:52:15,15:52:26,6:00:11,,,,,0:00:00,,,0:00:00,00:00:00,00:00:00,17:59:49,,,,
2000-04-15,10:01:54,15:42:21,5:40:27,19:55:00,,,,4:05:00,,,0:00:00,00:00:00,19:55:00,14:14:33,,,,
2000-04-16,10:11:58,15:31:50,5:19:52,,01:36:00,18:52:00,,6:44:00,,,0:00:00,01:36:00,18:52:00,11:56:08,,,,
2000-04-17,10:22:34,15:20:48,4:58:14,,04:23:00,18:06:00,,10:17:00,,,0:00:00,04:23:00,18:06:00,8:44:46,,,,
2000-04-18,10:33:49,15:09:07,4:35:19,,06:52:00,17:22:00,,13:30:00,,,0:00:00,06:52:00,17:22:00,5:54:41,,,,
2000-04-19,10:45:53,14:56:38,4:10:44,16:30:00,,,,7:30:00,,,0:00:00,00:00:00,16:30:00,12:19:16,,,,
2000-04-20,10:59:04,14:43:03,3:43:59,,12:57:00,14:36:00,,22:21:00,10:59:04,14:43:03,2:04:59,,,0:00:00,,,,
2000-04-21,11:13:48,14:27:54,3:14:06,,,,,0:00:00,,,0:00:00,00:00:00,00:00:00,20:45:54,,,,
2000-04-22,11:30:57,14:10:20,2:39:23,,,,,0:00:00,,,0:00:00,00:00:00,00:00:00,21:20:37,,,,
2000-04-23,12:29:47,13:48:08,1:18:21,,,,,0:00:00,,,0:00:00,00:00:00,00:00:00,22:41:39,,,,
2000-04-24,12:31:36,13:08:56,0:37:20,,,,,0:00:00,,,0:00:00,00:00:00,00:00:00,23:22:40,,,,
2000-04-25,,,0:00:00,,,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,
2000-04-26,,,0:00:00,,,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,
2000-04-27,,,0:00:00,,,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,
2000-04-28,,,0:00:00,,,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,
2000-04-29,,,0:00:00,,19:49:00,22:53:00,,20:56:00,,,0:00:00,19:49:00,22:53:00,3:04:00,,,,
2000-04-30,,,0:00:00,,18:19:00,,,18:19:00,,,0:00:00,18:19:00,00:00:00,5:41:00,,,,
2000-05-01,,,0:00:00,02:05:00,17:28:00,,,15:23:00,,,0:00:00,00:00:00,00:00:00,8:37:00,,,,
2000-05-02,,,0:00:00,04:41:00,16:43:00,,,12:02:00,,,0:00:00,00:00:00,00:00:00,11:58:00,,,,
2000-05-03,,,0:00:00,07:22:00,15:51:00,,,8:29:00,,,0:00:00,00:00:00,00:00:00,15:31:00,,,,
2000-05-04,,,0:00:00,,14:21:00,,,14:21:00,,,0:00:00,14:21:00,00:00:00,9:39:00,,,,
2000-05-05,,,0:00:00,,,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,
2000-05-06,,,0:00:00,,,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,
2000-05-07,,,0:00:00,,,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,
2000-05-08,,,0:00:00,,,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,
2000-05-09,,,0:00:00,,,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,
2000-05-10,,,0:00:00,,,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,
2000-05-11,,,0:00:00,,,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,
2000-05-12,,,0:00:00,18:48:00,22:37:00,,,3:49:00,,,0:00:00,00:00:00,00:00:00,20:11:00,,,,
2000-05-13,,,0:00:00,17:25:00,,,,6:35:00,,,0:00:00,00:00:00,17:25:00,17:25:00,,,,
2000-05-14,,,0:00:00,,01:43:00,16:35:00,,9:08:00,,,0:00:00,01:43:00,16:35:00,14:52:00,,,,
2000-05-15,,,0:00:00,,04:14:00,15:52:00,,12:22:00,,,0:00:00,04:14:00,15:52:00,11:38:00,,,,
2000-05-16,,,0:00:00,,06:41:00,15:04:00,,15:37:00,,,0:00:00,06:41:00,15:04:00,8:23:00,,,,
2000-05-17,,,0:00:00,13:51:00,,,,10:09:00,,,0:00:00,00:00:00,13:51:00,13:51:00,,,,
2000-05-18,,,0:00:00,,,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,
2000-05-19,,,0:00:00,,,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,
2000-05-20,,,0:00:00,,,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,
2000-05-21,,,0:00:00,,,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,
2000-05-22,,,0:00:00,,,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,
2000-05-23,,,0:00:00,,,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,
2000-05-24,,,0:00:00,,,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,
2000-05-25,,,0:00:00,,,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,
2000-05-26,,,0:00:00,,,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,
2000-05-27,,,0:00:00,,17:07:00,22:57:00,,18:10:00,,,0:00:00,17:07:00,22:57:00,5:50:00,,,,
2000-05-28,,,0:00:00,,16:06:00,,,16:06:00,,,0:00:00,16:06:00,00:00:00,7:54:00,,,,
2000-05-29,,,0:00:00,01:38:00,15:19:00,,,13:41:00,,,0:00:00,00:00:00,00:00:00,10:19:00,,,,
2000-05-30,,,0:00:00,04:11:00,14:33:00,,,10:22:00,,,0:00:00,00:00:00,00:00:00,13:38:00,,,,
2000-05-31,,,0:00:00,,13:31:00,,,13:31:00,,,0:00:00,13:31:00,00:00:00,10:29:00,,,,
2000-06-01,,,0:00:00,,,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,
2000-06-02,,,0:00:00,,,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,
2000-06-03,,,0:00:00,,,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,
2000-06-04,,,0:00:00,,,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,
2000-06-05,,,0:00:00,,,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,
2000-06-06,,,0:00:00,,,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,
