Date,Sun-Rise-Time,Sun-Set-Time,Total-Sun-Time,Moon-Rise-1-Time,Moon-Set-1-Time,Moon-Rise-2-Time,Moon-Set-2-Time,Total-Moon-Time,Moon-Phase-Angle,Overlap-Sun-Moon-Start-Time,Overlap-Sun-Moon-End-Time,Total-Overlap-Time,Total-Moon-Visible-Time,No-Moon-No-Sun-Start-Time,No-Moon-No-Sun-End-Time,Total-No-Moon-No-Sun-Time,Surya-Time,Chandra-Time,Agni-Time,Total-Sun-Days,Total-Moon-Days,Total-Overlap-Days,Total-No-Sun-No-Moon-Days,Surya-Days,Chandra-Days,Agni-Days
2014-03-01,06:46:18,17:40:17,10:54:00,06:27:00,18:18:00,,,11:51:00,1.43,06:46:18,17:40:17,10:54:00,0:00:00,00:00:00,00:00:00,12:09:00,10:54:00,11:51:00,12:09:00,,,,,,,
2014-03-02,06:44:08,17:42:03,10:57:55,06:55:00,19:38:00,,,12:43:00,14.43,06:55:00,17:42:03,10:47:04,0:00:00,00:00:00,00:00:00,11:06:08,10:57:55,12:43:00,11:06:08,,,,,,,
2014-03-03,06:41:58,17:43:49,11:01:51,07:22:00,20:55:00,,,13:33:00,28.43,07:22:00,17:43:49,10:21:49,0:00:00,00:00:00,00:00:00,9:46:58,11:01:51,13:33:00,9:46:58,,,,,,,
2014-03-04,06:39:47,17:45:34,11:05:47,07:51:00,22:08:00,,,14:17:00,41.43,07:51:00,17:45:34,9:54:34,14:17:00,00:00:00,00:00:00,8:31:47,0:00:00,14:17:00,8:31:47,,,,,,,
2014-03-05,06:37:35,17:47:19,11:09:44,08:22:00,23:18:00,,,14:56:00,54.43,08:22:00,17:47:19,9:25:19,14:56:00,00:00:00,00:00:00,7:19:36,0:00:00,14:56:00,7:19:36,,,,,,,
2014-03-06,06:35:23,17:49:04,11:13:40,08:55:00,,,,15:05:00,66.43,08:55:00,17:49:04,8:54:04,15:05:00,00:00:00,06:35:23,6:35:24,0:00:00,15:05:00,6:35:24,,,,,,,
2014-03-07,06:33:11,17:50:48,11:17:37,,00:22:00,09:34:00,,14:48:00,78.43,09:34:00,17:50:48,8:16:49,14:48:00,00:22:00,06:33:11,6:11:11,0:00:00,14:48:00,6:11:11,,,,,,,
2014-03-08,06:30:58,17:52:32,11:21:35,,01:20:00,10:17:00,,15:03:00,90.43,10:17:00,17:52:32,7:35:33,15:03:00,01:20:00,06:30:58,5:10:58,0:00:00,15:03:00,5:10:58,,,,,,,
2014-03-09,06:28:44,17:54:16,11:25:32,,02:12:00,11:06:00,,15:06:00,101.43,11:06:00,17:54:16,6:48:17,15:06:00,02:12:00,06:28:44,4:16:44,0:00:00,15:06:00,4:16:44,,,,,,,
2014-03-10,06:26:30,17:56:00,11:29:30,,02:56:00,11:59:00,,14:57:00,112.43,11:59:00,17:56:00,5:57:00,14:57:00,02:56:00,06:26:30,3:30:30,0:00:00,14:57:00,3:30:30,,,,,,,
