Date,Sun-Rise-Time,Sun-Set-Time,Total-Sun-Time,Moon-Rise-1-Time,Moon-Set-1-Time,Moon-Rise-2-Time,Moon-Set-2-Time,Total-Moon-Time,Moon-Phase-Angle,Overlap-Sun-Moon-Start-Time,Overlap-Sun-Moon-End-Time,Total-Overlap-Time,Visible-Overlap-Sun-Moon-Start-Time,Visible-Overlap-Sun-Moon-End-Time,Total-Visible-Overlap-Time,No-Moon-No-Sun-Start-Time,No-Moon-No-Sun-End-Time,Total-No-Moon-No-Sun-Time,Total-Sun-Days,Total-Moon-Days,Total-Overlap-Days,Total-Visible-Overlap-Days,Total-No-Sun-No-Moon-Days
2022-02-24,05:59:40,18:39:23,12:39:43,,13:31:00,,,13:31:00,276.43,05:59:40,13:31:00,7:31:19,,,0:00:00,18:39:23,00:00:00,5:20:37,,,,,
2022-02-25,06:00:11,18:38:33,12:38:22,00:25:00,14:36:00,,,14:11:00,290.43,06:00:11,14:36:00,8:35:48,,,0:00:00,00:00:00,00:00:00,5:46:27,,,,,
2022-02-26,06:00:41,18:37:42,12:37:01,01:25:00,15:39:00,,,14:14:00,303.43,06:00:41,15:39:00,9:38:18,,,0:00:00,00:00:00,00:00:00,6:47:17,,,,,
2022-02-27,06:01:12,18:36:51,12:35:40,02:29:00,16:36:00,,,14:07:00,316.43,06:01:12,16:36:00,10:34:48,,,0:00:00,00:00:00,00:00:00,7:52:08,,,,,
2022-02-28,06:01:41,18:35:59,12:34:18,03:36:00,17:27:00,,,13:51:00,329.43,06:01:41,17:27:00,11:25:18,,,0:00:00,00:00:00,00:00:00,9:00:00,,,,,
2022-03-01,06:02:10,18:35:07,12:32:56,04:42:00,18:12:00,,,13:30:00,343.43,06:02:10,18:12:00,12:09:49,,,0:00:00,00:00:00,00:00:00,10:06:53,,,,,
2022-03-02,06:02:39,18:34:14,12:31:34,05:45:00,18:52:00,,,13:07:00,356.43,06:02:39,18:34:14,12:31:34,,,0:00:00,00:00:00,00:00:00,10:53:00,,,,,
2022-03-03,06:03:08,18:33:20,12:30:12,06:45:00,19:28:00,,,12:43:00,9.43,06:45:00,18:33:20,11:48:21,,,0:00:00,00:00:00,00:00:00,10:35:08,,,,,
2022-03-04,06:03:36,18:32:26,12:28:50,07:42:00,20:03:00,,,12:21:00,22.43,07:42:00,18:32:26,10:50:26,,,0:00:00,00:00:00,00:00:00,10:00:36,,,,,
2022-03-05,06:04:03,18:31:31,12:27:28,08:38:00,20:36:00,,,11:58:00,34.43,08:38:00,18:31:31,9:53:32,,,0:00:00,00:00:00,00:00:00,9:28:04,,,,,
2022-03-06,06:04:31,18:30:36,12:26:05,09:32:00,,,,14:28:00,46.43,09:32:00,18:30:36,8:58:36,,,0:00:00,00:00:00,06:04:31,6:04:31,,,,,
2022-03-07,06:04:58,18:29:40,12:24:43,10:26:00,21:46:00,,,11:20:00,58.43,10:26:00,18:29:40,8:03:41,,,0:00:00,00:00:00,00:00:00,8:18:58,,,,,
2022-03-08,06:05:24,18:28:44,12:23:20,11:20:00,22:24:00,,,11:04:00,69.43,11:20:00,18:28:44,7:08:45,,,0:00:00,00:00:00,00:00:00,7:41:25,,,,,
2022-03-09,06:05:51,18:27:48,12:21:57,12:15:00,23:06:00,,,10:51:00,80.43,12:15:00,18:27:48,6:12:48,,,0:00:00,00:00:00,00:00:00,6:59:51,,,,,
2022-03-10,06:06:17,18:26:51,12:20:34,13:09:00,23:51:00,,,10:42:00,91.43,13:09:00,18:26:51,5:17:51,13:09:00,18:26:51,5:17:51,00:00:00,00:00:00,6:15:17,,,,,
2022-03-11,06:06:42,18:25:54,12:19:11,14:01:00,,,,9:59:00,102.43,14:01:00,18:25:54,4:24:54,14:01:00,18:25:54,4:24:54,00:00:00,06:06:42,6:06:43,,,,,
2022-03-12,06:07:08,18:24:56,12:17:48,,00:41:00,14:52:00,,9:49:00,112.43,14:52:00,18:24:56,3:32:57,14:52:00,18:24:56,3:32:57,00:41:00,06:07:08,5:26:08,,,,,
2022-03-13,06:07:33,18:23:58,12:16:25,,01:34:00,15:39:00,,9:55:00,123.43,15:39:00,18:23:58,2:44:59,15:39:00,18:23:58,2:44:59,01:34:00,06:07:33,4:33:33,,,,,
2022-03-14,06:07:58,18:23:00,12:15:02,,02:29:00,16:23:00,,10:06:00,134.43,16:23:00,18:23:00,2:00:01,16:23:00,18:23:00,2:00:01,02:29:00,06:07:58,3:38:58,,,,,
2022-03-15,06:08:23,18:22:02,12:13:39,,03:26:00,17:03:00,,10:23:00,146.43,17:03:00,18:22:02,1:19:02,17:03:00,18:22:02,1:19:02,03:26:00,06:08:23,2:42:23,,,,,
2022-03-16,06:08:47,18:21:03,12:12:17,,04:23:00,17:41:00,,10:42:00,157.43,17:41:00,18:21:03,0:40:04,17:41:00,18:21:03,0:40:04,04:23:00,06:08:47,1:45:47,,,,,
