Date,Sun-Rise-Time,Sun-Set-Time,Total-Sun-Time,Moon-Rise-1-Time,Moon-Set-1-Time,Moon-Rise-2-Time,Moon-Set-2-Time,Total-Moon-Time,Moon-Phase-Angle,Overlap-Sun-Moon-Start-Time,Overlap-Sun-Moon-End-Time,Total-Overlap-Time,Visible-Overlap-Sun-Moon-Start-Time,Visible-Overlap-Sun-Moon-End-Time,Total-Visible-Overlap-Time,No-Moon-No-Sun-Start-Time,No-Moon-No-Sun-End-Time,Total-No-Moon-No-Sun-Time,Total-Sun-Days,Total-Moon-Days,Total-Overlap-Days,Total-Visible-Overlap-Days,Total-No-Sun-No-Moon-Days
2012-02-09,06:58:16,17:22:43,10:24:27,,07:31:00,,,7:31:00,200.43,06:58:16,07:31:00,0:32:43,06:58:16,07:31:00,0:32:43,17:22:43,00:00:00,6:37:16,,,,,
2012-02-10,06:57:06,17:23:57,10:26:51,,08:02:00,21:01:00,,11:01:00,213.43,06:57:06,08:02:00,1:04:54,06:57:06,08:02:00,1:04:54,17:23:57,21:01:00,3:37:03,,,,,
2012-02-11,06:55:54,17:25:10,10:29:17,,08:34:00,22:12:00,,10:22:00,226.43,06:55:54,08:34:00,1:38:06,06:55:54,08:34:00,1:38:06,17:25:10,22:12:00,4:46:49,,,,,
2012-02-12,06:54:40,17:26:24,10:31:43,,09:09:00,23:24:00,,9:45:00,240.43,06:54:40,09:09:00,2:14:19,06:54:40,09:09:00,2:14:19,17:26:24,23:24:00,5:57:36,,,,,
2012-02-13,06:53:26,17:27:37,10:34:11,,09:47:00,,,9:47:00,253.43,06:53:26,09:47:00,2:53:34,06:53:26,09:47:00,2:53:34,17:27:37,00:00:00,6:32:23,,,,,
2012-02-14,06:52:10,17:28:49,10:36:40,00:35:00,10:31:00,,,9:56:00,266.43,06:52:10,10:31:00,3:38:50,06:52:10,10:31:00,3:38:50,00:00:00,00:00:00,7:06:10,,,,,
2012-02-15,06:50:53,17:30:02,10:39:10,01:42:00,11:22:00,,,9:40:00,279.43,06:50:53,11:22:00,4:31:07,,,0:00:00,00:00:00,00:00:00,8:11:57,,,,,
2012-02-16,06:49:34,17:31:14,10:41:40,02:44:00,12:19:00,,,9:35:00,292.43,06:49:34,12:19:00,5:29:25,,,0:00:00,00:00:00,00:00:00,9:12:45,,,,,
2012-02-17,06:48:15,17:32:26,10:44:12,03:39:00,13:22:00,,,9:43:00,305.43,06:48:15,13:22:00,6:33:45,,,0:00:00,00:00:00,00:00:00,10:06:33,,,,,
2012-02-18,06:46:54,17:33:38,10:46:44,04:25:00,14:27:00,,,10:02:00,317.43,06:46:54,14:27:00,7:40:06,,,0:00:00,00:00:00,00:00:00,10:51:21,,,,,
2012-02-19,06:45:32,17:34:50,10:49:18,05:05:00,15:33:00,,,10:28:00,330.43,06:45:32,15:33:00,8:47:28,,,0:00:00,00:00:00,00:00:00,11:30:10,,,,,
2012-02-20,06:44:09,17:36:01,10:51:52,05:40:00,16:38:00,,,10:58:00,342.43,06:44:09,16:38:00,9:53:51,,,0:00:00,00:00:00,00:00:00,12:03:59,,,,,
2012-02-21,06:42:45,17:37:12,10:54:27,06:10:00,17:42:00,,,11:32:00,354.43,06:42:45,17:37:12,10:54:27,,,0:00:00,00:00:00,00:00:00,12:28:00,,,,,
2012-02-22,06:41:20,17:38:22,10:57:02,06:38:00,18:43:00,,,12:05:00,6.43,06:41:20,17:38:22,10:57:02,,,0:00:00,00:00:00,00:00:00,11:55:00,,,,,
2012-02-23,06:39:54,17:39:33,10:59:39,07:05:00,,,,16:55:00,18.43,07:05:00,17:39:33,10:34:33,,,0:00:00,00:00:00,06:39:54,6:39:55,,,,,
2012-02-24,06:38:27,17:40:43,11:02:16,07:31:00,20:44:00,,,13:13:00,29.43,07:31:00,17:40:43,10:09:43,,,0:00:00,00:00:00,00:00:00,9:54:28,,,,,
2012-02-25,06:36:59,17:41:52,11:04:53,07:59:00,21:43:00,,,13:44:00,41.43,07:59:00,17:41:52,9:42:53,,,0:00:00,00:00:00,00:00:00,8:54:00,,,,,
2012-02-26,06:35:31,17:43:02,11:07:31,08:28:00,22:41:00,,,14:13:00,52.43,08:28:00,17:43:02,9:15:02,,,0:00:00,00:00:00,00:00:00,7:54:31,,,,,
2012-02-27,06:34:01,17:44:11,11:10:10,09:00:00,23:38:00,,,14:38:00,62.43,09:00:00,17:44:11,8:44:11,,,0:00:00,00:00:00,00:00:00,6:56:02,,,,,
2012-02-28,06:32:31,17:45:20,11:12:49,09:36:00,,,,14:24:00,73.43,09:36:00,17:45:20,8:09:20,,,0:00:00,00:00:00,06:32:31,6:32:32,,,,,
2012-02-29,06:31:00,17:46:28,11:15:28,,00:34:00,10:17:00,,14:17:00,84.43,10:17:00,17:46:28,7:29:29,,,0:00:00,00:34:00,06:31:00,5:57:01,,,,,
2012-03-01,06:29:28,17:47:36,11:18:08,,01:27:00,11:05:00,,14:22:00,95.43,11:05:00,17:47:36,6:42:37,11:05:00,17:47:36,6:42:37,01:27:00,06:29:28,5:02:29,,,,,
2012-03-02,06:27:56,17:48:44,11:20:48,,02:17:00,11:58:00,,14:19:00,106.43,11:58:00,17:48:44,5:50:45,11:58:00,17:48:44,5:50:45,02:17:00,06:27:56,4:10:56,,,,,
