Date,Sun-Rise-Time,Sun-Set-Time,Total-Sun-Time,Moon-Rise-1-Time,Moon-Set-1-Time,Moon-Rise-2-Time,Moon-Set-2-Time,Total-Moon-Time,Overlap-Sun-Moon-Start-Time,Overlap-Sun-Moon-End-Time,Total-Overlap-Time,No-Moon-No-Sun-Start-Time,No-Moon-No-Sun-End-Time,Total-No-Moon-No-Sun-Time,Total-Sun-Days,Total-Moon-Days,Total-Overlap-Days,Total-No-Sun-No-Moon-Days
2018-02-22,06:40:33,17:39:00,10:58:26,10:33:00,,,,13:27:00,10:33:00,17:39:00,7:06:00,00:00:00,06:40:33,6:40:34,,,,
2018-02-23,06:39:07,17:40:10,11:01:03,,00:48:00,11:15:00,,13:33:00,11:15:00,17:40:10,6:25:10,00:48:00,06:39:07,5:51:07,,,,
2018-02-24,06:37:39,17:41:20,11:03:40,,01:55:00,12:04:00,,13:51:00,12:04:00,17:41:20,5:37:20,01:55:00,06:37:39,4:42:40,,,,
2018-02-25,06:36:11,17:42:29,11:06:18,,02:59:00,13:00:00,,13:59:00,13:00:00,17:42:29,4:42:30,02:59:00,06:36:11,3:37:12,,,,
2018-02-26,06:34:42,17:43:38,11:08:56,,03:59:00,14:03:00,,13:56:00,14:03:00,17:43:38,3:40:39,03:59:00,06:34:42,2:35:43,,,,
2018-02-27,06:33:12,17:44:47,11:11:35,,04:53:00,15:11:00,,13:42:00,15:11:00,17:44:47,2:33:48,04:53:00,06:33:12,1:40:13,,,,
2018-02-28,06:31:42,17:45:56,11:14:14,,05:41:00,16:22:00,,13:19:00,16:22:00,17:45:56,1:23:56,05:41:00,06:31:42,0:50:42,,,,
2018-03-01,06:30:10,17:47:04,11:16:54,,06:23:00,17:33:00,,12:50:00,17:33:00,17:47:04,0:14:05,06:23:00,06:30:10,0:07:11,,,,
2018-03-02,06:28:38,17:48:12,11:19:34,,07:00:00,18:43:00,,12:17:00,06:28:38,07:00:00,0:31:21,17:48:12,18:43:00,0:54:47,,,,
2018-03-03,06:27:05,17:49:20,11:22:15,,07:34:00,,,7:34:00,06:27:05,07:34:00,1:06:54,17:49:20,00:00:00,6:10:40,,,,
2018-03-04,06:25:32,17:50:27,11:24:56,,08:06:00,20:57:00,,11:09:00,06:25:32,08:06:00,1:40:28,17:50:27,20:57:00,3:06:32,,,,
2018-03-05,06:23:58,17:51:35,11:27:37,,08:38:00,22:00:00,,10:38:00,06:23:58,08:38:00,2:14:02,17:51:35,22:00:00,4:08:25,,,,
2018-03-06,06:22:23,17:52:41,11:30:18,,09:10:00,23:02:00,,10:08:00,06:22:23,09:10:00,2:47:36,17:52:41,23:02:00,5:09:18,,,,
2018-03-07,06:20:48,17:53:48,11:33:00,,09:44:00,,,9:44:00,06:20:48,09:44:00,3:23:11,17:53:48,00:00:00,6:06:11,,,,
2018-03-08,06:19:12,17:54:54,11:35:42,00:01:00,10:20:00,,,10:19:00,06:19:12,10:20:00,4:00:47,00:00:00,00:00:00,6:06:05,,,,
2018-03-09,06:17:36,17:56:01,11:38:24,00:57:00,11:00:00,,,10:03:00,06:17:36,11:00:00,4:42:23,00:00:00,00:00:00,7:00:59,,,,
2018-03-10,06:16:00,17:57:06,11:41:07,01:51:00,11:44:00,,,9:53:00,06:16:00,11:44:00,5:28:00,00:00:00,00:00:00,7:53:53,,,,
2018-03-11,07:14:23,18:58:12,11:43:49,03:40:00,13:31:00,,,9:51:00,07:14:23,13:31:00,6:16:37,00:00:00,00:00:00,8:41:48,,,,
2018-03-12,07:12:45,18:59:17,11:46:32,04:26:00,14:23:00,,,9:57:00,07:12:45,14:23:00,7:10:14,00:00:00,00:00:00,9:26:42,,,,
2018-03-13,07:11:08,19:00:23,11:49:15,05:08:00,15:18:00,,,10:10:00,07:11:08,15:18:00,8:06:52,00:00:00,00:00:00,10:07:37,,,,
2018-03-14,07:09:30,19:01:27,11:51:58,05:46:00,16:16:00,,,10:30:00,07:09:30,16:16:00,9:06:30,00:00:00,00:00:00,10:44:32,,,,
2018-03-15,07:07:52,19:02:32,11:54:41,06:20:00,17:15:00,,,10:55:00,07:07:52,17:15:00,10:07:08,00:00:00,00:00:00,11:17:27,,,,
2018-03-16,07:06:13,19:03:37,11:57:24,06:53:00,18:17:00,,,11:24:00,07:06:13,18:17:00,11:10:47,00:00:00,00:00:00,11:49:23,,,,
