Date,Sun-Rise-Time,Sun-Set-Time,Total-Sun-Time,Moon-Rise-1-Time,Moon-Set-1-Time,Moon-Rise-2-Time,Moon-Set-2-Time,Total-Moon-Time,Moon-Phase-Angle,Overlap-Sun-Moon-Start-Time,Overlap-Sun-Moon-End-Time,Total-Overlap-Time,Total-Moon-Visible-Time,No-Moon-No-Sun-Start-Time,No-Moon-No-Sun-End-Time,Total-No-Moon-No-Sun-Time,Surya-Time,Chandra-Time,Agni-Time,Total-Sun-Days,Total-Moon-Days,Total-Overlap-Days,Total-No-Sun-No-Moon-Days,Surya-Days,Chandra-Days,Agni-Days
2000-02-13,06:53:34,17:27:31,10:33:56,,01:03:00,11:36:00,,13:27:00,96.43,11:36:00,17:27:31,5:51:31,13:27:00,01:03:00,06:53:34,5:50:35,0:00:00,13:27:00,5:50:35,,,,,,,
2000-02-14,06:52:19,17:28:44,10:36:25,,02:12:00,12:22:00,,13:50:00,109.43,12:22:00,17:28:44,5:06:44,13:50:00,02:12:00,06:52:19,4:40:19,0:00:00,13:50:00,4:40:19,,,,,,,
2000-02-15,06:51:01,17:29:56,10:38:55,,03:19:00,13:15:00,,14:04:00,122.43,13:15:00,17:29:56,4:14:57,14:04:00,03:19:00,06:51:01,3:32:02,0:00:00,14:04:00,3:32:02,,,,,,,
2000-02-16,06:49:43,17:31:09,10:41:25,,04:22:00,14:16:00,,14:06:00,136.43,14:16:00,17:31:09,3:15:09,14:06:00,04:22:00,06:49:43,2:27:44,0:00:00,14:06:00,2:27:44,,,,,,,
2000-02-17,06:48:24,17:32:21,10:43:57,,05:20:00,15:23:00,,13:57:00,149.43,15:23:00,17:32:21,2:09:21,13:57:00,05:20:00,06:48:24,1:28:24,0:00:00,13:57:00,1:28:24,,,,,,,
2000-02-18,06:47:03,17:33:32,10:46:29,,06:10:00,16:33:00,,13:37:00,163.43,16:33:00,17:33:32,1:00:33,13:37:00,06:10:00,06:47:03,0:37:04,0:00:00,13:37:00,0:37:04,,,,,,,
2000-02-19,06:45:41,17:34:44,10:49:03,,06:53:00,17:44:00,,13:09:00,176.43,06:45:41,06:53:00,0:07:18,13:09:00,17:34:44,17:44:00,0:09:16,0:00:00,13:09:00,0:09:16,,,,,,,
2000-02-20,06:44:18,17:35:55,10:51:37,,07:30:00,18:54:00,,12:36:00,190.43,06:44:18,07:30:00,0:45:41,12:36:00,17:35:55,18:54:00,1:18:04,0:00:00,12:36:00,1:18:04,,,,,,,
2000-02-21,06:42:54,17:37:06,10:54:12,,08:04:00,,,8:04:00,203.43,06:42:54,08:04:00,1:21:05,8:04:00,17:37:06,00:00:00,6:22:53,2:50:12,8:04:00,6:22:53,,,,,,,
2000-02-22,06:41:30,17:38:17,10:56:47,,08:34:00,21:06:00,,11:28:00,216.43,06:41:30,08:34:00,1:52:30,11:28:00,17:38:17,21:06:00,3:27:43,0:00:00,11:28:00,3:27:43,,,,,,,
