Date,Sun-Rise-Time,Sun-Set-Time,Total-Sun-Time,Moon-Rise-1-Time,Moon-Set-1-Time,Moon-Rise-2-Time,Moon-Set-2-Time,Total-Moon-Time,Moon-Phase-Angle,Overlap-Sun-Moon-Start-Time,Overlap-Sun-Moon-End-Time,Total-Overlap-Time,Total-Moon-Visible-Time,No-Moon-No-Sun-Start-Time,No-Moon-No-Sun-End-Time,Total-No-Moon-No-Sun-Time,Surya-Time,Chandra-Time,Agni-Time,Total-Sun-Days,Total-Moon-Days,Total-Overlap-Days,Total-No-Sun-No-Moon-Days,Surya-Days,Chandra-Days,Agni-Days
2000-03-23,05:59:04,18:10:19,12:11:15,,08:05:00,21:11:00,,10:54:00,220.43,05:59:04,08:05:00,2:05:56,10:54:00,18:10:19,21:11:00,3:00:41,1:17:15,10:54:00,3:00:41,,,,,,,
2000-03-24,05:58:01,18:10:46,12:12:45,,08:43:00,22:05:00,,10:38:00,231.43,05:58:01,08:43:00,2:44:59,10:38:00,18:10:46,22:05:00,3:54:14,1:34:45,10:38:00,3:54:14,,,,,,,
2000-03-25,05:56:58,18:11:12,12:14:14,,09:23:00,22:58:00,,10:25:00,243.43,05:56:58,09:23:00,3:26:02,10:25:00,18:11:12,22:58:00,4:46:47,1:49:14,10:25:00,4:46:47,,,,,,,
2000-03-26,05:55:55,18:11:39,12:15:44,,10:05:00,23:50:00,,10:15:00,254.43,05:55:55,10:05:00,4:09:04,10:15:00,18:11:39,23:50:00,5:38:21,2:00:44,10:15:00,5:38:21,,,,,,,
2000-03-27,05:54:52,18:12:05,12:17:13,,10:49:00,,,10:49:00,264.43,05:54:52,10:49:00,4:54:07,10:49:00,18:12:05,00:00:00,5:47:54,1:28:13,10:49:00,5:47:54,,,,,,,
2000-03-28,05:53:50,18:12:32,12:18:42,00:40:00,11:36:00,,,10:56:00,275.43,05:53:50,11:36:00,5:42:10,10:56:00,00:00:00,00:00:00,6:27:28,1:22:42,10:56:00,6:27:28,,,,,,,
2000-03-29,,,0:00:00,01:29:00,12:26:00,,,10:57:00,286.43,,,0:00:00,10:57:00,00:00:00,00:00:00,13:03:00,0:00:00,10:57:00,13:03:00,,,,,,,
2000-03-30,05:51:45,18:13:24,12:21:40,02:15:00,13:17:00,,,11:02:00,297.43,05:51:45,13:17:00,7:25:15,11:02:00,00:00:00,00:00:00,8:01:35,1:19:40,11:02:00,8:01:35,,,,,,,
2000-03-31,05:50:42,18:13:51,12:23:09,02:59:00,14:11:00,,,11:12:00,308.43,05:50:42,14:11:00,8:20:17,11:12:00,00:00:00,00:00:00,8:45:09,1:11:09,11:12:00,8:45:09,,,,,,,
2000-04-01,05:49:40,18:14:17,12:24:37,03:41:00,15:06:00,,,11:25:00,319.43,05:49:40,15:06:00,9:16:19,11:25:00,00:00:00,00:00:00,9:26:42,0:59:37,11:25:00,9:26:42,,,,,,,
2000-04-02,05:48:38,18:14:44,12:26:06,04:21:00,16:02:00,,,11:41:00,331.43,05:48:38,16:02:00,10:13:21,0:00:00,00:00:00,00:00:00,10:06:16,12:26:06,11:41:00,10:06:16,,,,,,,
2000-04-03,05:47:36,18:15:10,12:27:34,,16:58:00,,,16:58:00,344.43,05:47:36,16:58:00,11:10:23,0:00:00,18:15:10,00:00:00,5:44:49,12:27:34,16:58:00,5:44:49,,,,,,,
2000-04-04,05:46:35,18:15:37,12:29:02,05:38:00,17:57:00,,,12:19:00,356.43,05:46:35,17:57:00,12:10:24,0:00:00,00:00:00,00:00:00,11:22:23,12:29:02,12:19:00,11:22:23,,,,,,,
2000-04-05,05:45:34,18:16:03,12:30:30,06:17:00,18:56:00,,,12:39:00,9.43,06:17:00,18:16:03,11:59:04,0:00:00,00:00:00,00:00:00,10:49:34,12:30:30,12:39:00,10:49:34,,,,,,,
2000-04-06,05:44:33,18:16:30,12:31:57,06:57:00,19:58:00,,,13:01:00,22.43,06:57:00,18:16:30,11:19:31,0:00:00,00:00:00,00:00:00,9:46:34,12:31:57,13:01:00,9:46:34,,,,,,,
2000-04-07,05:43:33,18:16:57,12:33:24,07:40:00,21:01:00,,,13:21:00,35.43,07:40:00,18:16:57,10:36:57,13:21:00,00:00:00,00:00:00,8:42:33,0:00:00,13:21:00,8:42:33,,,,,,,
2000-04-08,05:42:32,18:17:24,12:34:51,08:27:00,22:05:00,,,13:38:00,48.43,08:27:00,18:17:24,9:50:24,13:38:00,00:00:00,00:00:00,7:37:33,0:00:00,13:38:00,7:37:33,,,,,,,
2000-04-09,05:41:33,18:17:51,12:36:18,09:18:00,23:08:00,,,13:50:00,62.43,09:18:00,18:17:51,8:59:51,13:50:00,00:00:00,00:00:00,6:33:33,0:00:00,13:50:00,6:33:33,,,,,,,
2000-04-10,05:40:33,18:18:18,12:37:45,10:13:00,,,,13:47:00,75.43,10:13:00,18:18:18,8:05:18,13:47:00,00:00:00,05:40:33,5:40:34,0:00:00,13:47:00,5:40:34,,,,,,,
2000-04-11,05:39:34,18:18:45,12:39:11,,00:09:00,11:12:00,,12:57:00,88.43,11:12:00,18:18:45,7:06:45,12:57:00,00:09:00,05:39:34,5:30:35,0:00:00,12:57:00,5:30:35,,,,,,,
2000-04-12,05:38:36,18:19:12,12:40:36,,01:07:00,12:14:00,,12:53:00,101.43,12:14:00,18:19:12,6:05:13,12:53:00,01:07:00,05:38:36,4:31:36,0:00:00,12:53:00,4:31:36,,,,,,,
2000-04-13,05:37:38,18:19:40,12:42:02,,01:59:00,13:15:00,,12:44:00,114.43,13:15:00,18:19:40,5:04:40,12:44:00,01:59:00,05:37:38,3:38:38,0:00:00,12:44:00,3:38:38,,,,,,,
