Date,Sun-Rise-Time,Sun-Set-Time,Total-Sun-Time,Moon-Rise-1-Time,Moon-Set-1-Time,Moon-Rise-2-Time,Moon-Set-2-Time,Total-Moon-Time,Overlap-Sun-Moon-Start-Time,Overlap-Sun-Moon-End-Time,Total-Overlap-Time,No-Moon-No-Sun-Start-Time,No-Moon-No-Sun-End-Time,Total-No-Moon-No-Sun-Time,Total-Sun-Days,Total-Moon-Days,Total-Overlap-Days,Total-No-Sun-No-Moon-Days
2006-02-28,06:41:52,19:33:10,12:51:18,06:30:00,19:49:00,,,13:19:00,06:41:52,19:33:10,12:51:18,00:00:00,00:00:00,10:41:00,,,,
2006-03-01,06:42:44,19:31:55,12:49:12,07:44:00,20:20:00,,,12:36:00,07:44:00,19:31:55,11:47:56,00:00:00,00:00:00,10:22:44,,,,
2006-03-02,06:43:35,19:30:41,12:47:06,08:55:00,20:50:00,,,11:55:00,08:55:00,19:30:41,10:35:41,00:00:00,00:00:00,9:53:35,,,,
2006-03-03,06:44:26,19:29:25,12:45:00,,21:21:00,,,21:21:00,06:44:26,19:29:25,12:45:00,21:21:00,00:00:00,2:39:00,,,,
2006-03-04,06:45:16,19:28:09,12:42:53,11:16:00,21:55:00,,,10:39:00,11:16:00,19:28:09,8:12:10,00:00:00,00:00:00,8:50:17,,,,
2006-03-05,06:46:06,19:26:52,12:40:46,12:26:00,22:33:00,,,10:07:00,12:26:00,19:26:52,7:00:53,00:00:00,00:00:00,8:13:07,,,,
2006-03-06,06:46:56,19:25:35,12:38:39,13:33:00,23:16:00,,,9:43:00,13:33:00,19:25:35,5:52:36,00:00:00,00:00:00,7:30:57,,,,
2006-03-07,06:47:45,19:24:18,12:36:32,14:36:00,,,,9:24:00,14:36:00,19:24:18,4:48:18,00:00:00,06:47:45,6:47:46,,,,
2006-03-08,06:48:35,19:23:00,12:34:25,,00:06:00,15:33:00,,8:33:00,15:33:00,19:23:00,3:50:00,00:06:00,06:48:35,6:42:35,,,,
2006-03-09,06:49:23,19:21:41,12:32:18,,01:00:00,16:22:00,,8:38:00,16:22:00,19:21:41,2:59:42,01:00:00,06:49:23,5:49:24,,,,
2006-03-10,06:50:12,19:20:22,12:30:10,,01:59:00,17:04:00,,8:55:00,17:04:00,19:20:22,2:16:23,01:59:00,06:50:12,4:51:12,,,,
2006-03-11,06:51:00,19:19:03,12:28:02,,02:59:00,17:39:00,,9:20:00,17:39:00,19:19:03,1:40:03,02:59:00,06:51:00,3:52:01,,,,
2006-03-12,06:51:48,19:17:43,12:25:55,,03:58:00,18:09:00,,9:49:00,18:09:00,19:17:43,1:08:44,03:58:00,06:51:48,2:53:49,,,,
2006-03-13,06:52:36,19:16:23,12:23:47,,04:56:00,18:36:00,,10:20:00,18:36:00,19:16:23,0:40:24,04:56:00,06:52:36,1:56:36,,,,
2006-03-14,06:53:23,19:15:03,12:21:39,,05:53:00,19:00:00,,10:53:00,19:00:00,19:15:03,0:15:03,05:53:00,06:53:23,1:00:24,,,,
2006-03-15,06:54:11,19:13:42,12:19:32,,06:48:00,19:23:00,,11:25:00,,,0:00:00,06:48:00,19:23:00,0:15:28,,,,
2006-03-16,06:54:58,19:12:22,12:17:24,,07:44:00,19:46:00,,11:58:00,06:54:58,07:44:00,0:49:02,19:12:22,19:46:00,0:33:38,,,,
2006-03-17,06:55:44,19:11:01,12:15:16,,08:40:00,20:10:00,,12:30:00,06:55:44,08:40:00,1:44:15,19:11:01,20:10:00,0:58:59,,,,
2006-03-18,06:56:31,19:09:40,12:13:09,,09:38:00,20:37:00,,13:01:00,06:56:31,09:38:00,2:41:29,19:09:40,20:37:00,1:27:20,,,,
2006-03-19,06:57:17,19:08:18,12:11:01,21:08:00,,,,2:52:00,,,0:00:00,00:00:00,21:08:00,8:56:59,,,,
2006-03-20,06:58:03,19:06:57,12:08:54,,11:41:00,21:45:00,,13:56:00,06:58:03,11:41:00,4:42:56,19:06:57,21:45:00,2:38:03,,,,
2006-03-21,06:58:49,19:05:36,12:06:46,,12:45:00,22:29:00,,14:16:00,06:58:49,12:45:00,5:46:10,19:05:36,22:29:00,3:23:24,,,,
2006-03-22,06:59:35,19:04:14,12:04:39,,13:49:00,23:22:00,,14:27:00,06:59:35,13:49:00,6:49:25,19:04:14,23:22:00,4:17:45,,,,
2006-03-23,07:00:21,19:02:53,12:02:32,,14:49:00,,,14:49:00,07:00:21,14:49:00,7:48:39,19:02:53,00:00:00,4:57:07,,,,
2006-03-24,07:01:06,19:01:31,12:00:25,00:25:00,15:43:00,,,15:18:00,07:01:06,15:43:00,8:41:53,00:00:00,00:00:00,5:23:28,,,,
2006-03-25,07:01:51,19:00:10,11:58:18,01:35:00,16:29:00,,,14:54:00,07:01:51,16:29:00,9:27:08,00:00:00,00:00:00,6:34:50,,,,
2006-03-26,07:02:37,18:58:48,11:56:12,02:48:00,17:09:00,,,14:21:00,07:02:37,17:09:00,10:06:23,00:00:00,00:00:00,7:49:11,,,,
2006-03-27,07:03:22,18:57:27,11:54:05,04:03:00,17:43:00,,,13:40:00,07:03:22,17:43:00,10:39:38,00:00:00,00:00:00,9:05:33,,,,
2006-03-28,07:04:07,18:56:06,11:51:59,05:16:00,18:15:00,,,12:59:00,07:04:07,18:15:00,11:10:53,00:00:00,00:00:00,10:19:54,,,,
2006-03-29,07:04:52,18:54:45,11:49:53,06:28:00,18:45:00,,,12:17:00,07:04:52,18:45:00,11:40:08,00:00:00,00:00:00,11:33:15,,,,
2006-03-30,07:05:37,18:53:24,11:47:47,07:40:00,19:16:00,,,11:36:00,07:40:00,18:53:24,11:13:25,00:00:00,00:00:00,11:49:37,,,,
2006-03-31,07:06:21,18:52:03,11:45:42,08:52:00,19:49:00,,,10:57:00,08:52:00,18:52:03,10:00:04,00:00:00,00:00:00,11:17:22,,,,
2006-04-01,07:07:06,18:50:43,11:43:37,,20:26:00,,,20:26:00,07:07:06,18:50:43,11:43:37,20:26:00,00:00:00,3:34:00,,,,
2006-04-02,06:07:51,17:49:23,11:41:32,10:15:00,20:08:00,,,9:53:00,10:15:00,17:49:23,7:34:23,00:00:00,00:00:00,9:59:51,,,,
2006-04-03,06:08:35,17:48:03,11:39:28,11:22:00,20:57:00,,,9:35:00,11:22:00,17:48:03,6:26:04,00:00:00,00:00:00,9:11:36,,,,
2006-04-04,06:09:20,17:46:44,11:37:24,12:24:00,21:51:00,,,9:27:00,12:24:00,17:46:44,5:22:44,00:00:00,00:00:00,8:18:21,,,,
2006-04-05,06:10:05,17:45:24,11:35:20,13:17:00,22:49:00,,,9:32:00,13:17:00,17:45:24,4:28:25,00:00:00,00:00:00,7:21:05,,,,
2006-04-06,06:10:49,17:44:06,11:33:16,14:02:00,23:50:00,,,9:48:00,14:02:00,17:44:06,3:42:06,00:00:00,00:00:00,6:20:50,,,,
2006-04-07,06:11:34,17:42:47,11:31:14,14:40:00,,,,9:20:00,14:40:00,17:42:47,3:02:48,00:00:00,06:11:34,6:11:34,,,,
2006-04-08,06:12:18,17:41:29,11:29:11,,00:50:00,15:12:00,,9:38:00,15:12:00,17:41:29,2:29:30,00:50:00,06:12:18,5:22:19,,,,
2006-04-09,06:13:03,17:40:12,11:27:09,,01:48:00,15:39:00,,10:09:00,15:39:00,17:40:12,2:01:12,01:48:00,06:13:03,4:25:03,,,,
2006-04-10,06:13:48,17:38:55,11:25:07,,02:45:00,16:04:00,,10:41:00,16:04:00,17:38:55,1:34:55,02:45:00,06:13:48,3:28:48,,,,
2006-04-11,06:14:32,17:37:38,11:23:06,,03:41:00,16:27:00,,11:14:00,16:27:00,17:37:38,1:10:39,03:41:00,06:14:32,2:33:33,,,,
2006-04-12,06:15:17,17:36:22,11:21:06,,04:37:00,16:51:00,,11:46:00,16:51:00,17:36:22,0:45:23,04:37:00,06:15:17,1:38:17,,,,
