Date,Sun-Rise-Time,Sun-Set-Time,Total-Sun-Time,Moon-Rise-1-Time,Moon-Set-1-Time,Moon-Rise-2-Time,Moon-Set-2-Time,Total-Moon-Time,Moon-Phase-Angle,Overlap-Sun-Moon-Start-Time,Overlap-Sun-Moon-End-Time,Total-Overlap-Time,Total-Moon-Visible-Time,No-Moon-No-Sun-Start-Time,No-Moon-No-Sun-End-Time,Total-No-Moon-No-Sun-Time,Surya-Time,Chandra-Time,Agni-Time,Total-Sun-Days,Total-Moon-Days,Total-Overlap-Days,Total-No-Sun-No-Moon-Days,Surya-Days,Chandra-Days,Agni-Days
2023-02-14,06:36:27,17:42:24,11:05:57,,11:28:00,,,11:28:00,280.43,06:36:27,11:28:00,4:51:33,11:28:00,17:42:24,00:00:00,6:17:36,0:00:00,11:28:00,6:17:36,,,,,,,
2023-02-15,06:35:35,17:43:11,11:07:37,02:05:00,12:17:00,,,10:12:00,293.43,06:35:35,12:17:00,5:41:25,10:12:00,00:00:00,00:00:00,8:21:48,0:55:37,10:12:00,8:21:48,,,,,,,
2023-02-16,06:34:41,17:43:58,11:09:17,03:12:00,13:16:00,,,10:04:00,306.43,06:34:41,13:16:00,6:41:18,10:04:00,00:00:00,00:00:00,9:28:01,1:05:17,10:04:00,9:28:01,,,,,,,
2023-02-17,06:33:47,17:44:45,11:10:58,04:17:00,14:23:00,,,10:06:00,320.43,06:33:47,14:23:00,7:49:12,10:06:00,00:00:00,00:00:00,10:32:15,1:04:58,10:06:00,10:32:15,,,,,,,
2023-02-18,06:32:52,17:45:31,11:12:39,05:15:00,15:36:00,,,10:21:00,333.43,06:32:52,15:36:00,9:03:08,0:00:00,00:00:00,00:00:00,11:29:28,11:12:39,10:21:00,11:29:28,,,,,,,
2023-02-19,06:31:56,17:46:17,11:14:21,06:06:00,16:51:00,,,10:45:00,347.43,06:31:56,16:51:00,10:19:04,0:00:00,00:00:00,00:00:00,12:19:43,11:14:21,10:45:00,12:19:43,,,,,,,
2023-02-20,06:30:58,17:47:02,11:16:04,06:49:00,18:04:00,,,11:15:00,1.43,06:49:00,17:47:02,10:58:03,0:00:00,00:00:00,00:00:00,12:26:59,11:16:04,11:15:00,12:26:59,,,,,,,
2023-02-21,06:30:00,17:47:47,11:17:47,07:27:00,19:13:00,,,11:46:00,15.43,07:27:00,17:47:47,10:20:48,0:00:00,00:00:00,00:00:00,11:17:01,11:17:47,11:46:00,11:17:01,,,,,,,
2023-02-22,06:29:01,17:48:32,11:19:31,08:01:00,20:19:00,,,12:18:00,29.43,08:01:00,17:48:32,9:47:32,0:00:00,00:00:00,00:00:00,10:10:01,11:19:31,12:18:00,10:10:01,,,,,,,
2023-02-23,06:28:01,17:49:16,11:21:15,08:33:00,21:23:00,,,12:50:00,42.43,08:33:00,17:49:16,9:16:17,12:50:00,00:00:00,00:00:00,9:05:01,0:00:00,12:50:00,9:05:01,,,,,,,
2023-02-24,06:27:00,17:50:00,11:23:00,09:05:00,22:26:00,,,13:21:00,55.43,09:05:00,17:50:00,8:45:01,13:21:00,00:00:00,00:00:00,8:01:01,0:00:00,13:21:00,8:01:01,,,,,,,
2023-02-25,06:25:58,17:50:44,11:24:45,09:38:00,23:28:00,,,13:50:00,68.43,09:38:00,17:50:44,8:12:44,13:50:00,00:00:00,00:00:00,6:57:59,0:00:00,13:50:00,6:57:59,,,,,,,
2023-02-26,06:24:56,17:51:27,11:26:31,10:14:00,,,,13:46:00,80.43,10:14:00,17:51:27,7:37:27,13:46:00,00:00:00,06:24:56,6:24:56,0:00:00,13:46:00,6:24:56,,,,,,,
2023-02-27,06:23:53,17:52:09,11:28:17,,00:29:00,10:54:00,,13:35:00,92.43,10:54:00,17:52:09,6:58:10,13:35:00,00:29:00,06:23:53,5:54:53,0:00:00,13:35:00,5:54:53,,,,,,,
2023-02-28,06:22:49,17:52:52,11:30:03,11:38:00,,,,12:22:00,103.43,11:38:00,17:52:52,6:14:52,12:22:00,00:00:00,06:22:49,6:22:49,0:00:00,12:22:00,6:22:49,,,,,,,
2023-03-01,06:21:44,17:53:34,11:31:50,,02:25:00,12:27:00,,13:58:00,114.43,12:27:00,17:53:34,5:26:34,13:58:00,02:25:00,06:21:44,3:56:44,0:00:00,13:58:00,3:56:44,,,,,,,
2023-03-02,06:20:39,17:54:16,11:33:37,,03:17:00,13:19:00,,13:58:00,125.43,13:19:00,17:54:16,4:35:16,13:58:00,03:17:00,06:20:39,3:03:39,0:00:00,13:58:00,3:03:39,,,,,,,
2023-03-03,06:19:33,17:54:57,11:35:24,,04:03:00,14:15:00,,13:48:00,136.43,14:15:00,17:54:57,3:39:57,13:48:00,04:03:00,06:19:33,2:16:33,0:00:00,13:48:00,2:16:33,,,,,,,
2023-03-04,06:18:26,17:55:38,11:37:12,,04:45:00,15:12:00,,13:33:00,147.43,15:12:00,17:55:38,2:43:38,13:33:00,04:45:00,06:18:26,1:33:26,0:00:00,13:33:00,1:33:26,,,,,,,
2023-03-05,06:17:19,17:56:19,11:39:00,,05:21:00,16:08:00,,13:13:00,157.43,16:08:00,17:56:19,1:48:19,13:13:00,05:21:00,06:17:19,0:56:19,0:00:00,13:13:00,0:56:19,,,,,,,
2023-03-06,06:16:11,17:56:59,11:40:48,,05:53:00,17:04:00,,12:49:00,168.43,17:04:00,17:56:59,0:52:59,12:49:00,05:53:00,06:16:11,0:23:11,0:00:00,12:49:00,0:23:11,,,,,,,
2023-03-07,06:15:03,17:57:39,11:42:36,,06:22:00,18:00:00,,12:22:00,179.43,06:15:03,06:22:00,0:06:57,12:22:00,17:57:39,18:00:00,0:02:20,0:00:00,12:22:00,0:02:20,,,,,,,
2023-03-08,06:13:54,17:58:19,11:44:25,,06:50:00,18:55:00,,11:55:00,191.43,06:13:54,06:50:00,0:36:06,11:55:00,17:58:19,18:55:00,0:56:41,0:00:00,11:55:00,0:56:41,,,,,,,
2023-03-09,06:12:45,17:58:58,11:46:14,,07:17:00,19:51:00,,11:26:00,202.43,06:12:45,07:17:00,1:04:15,11:26:00,17:58:58,19:51:00,1:52:01,0:20:14,11:26:00,1:52:01,,,,,,,
2023-03-10,06:11:35,17:59:38,11:48:03,,07:45:00,20:48:00,,10:57:00,213.43,06:11:35,07:45:00,1:33:25,10:57:00,17:59:38,20:48:00,2:48:22,0:51:03,10:57:00,2:48:22,,,,,,,
2023-03-11,06:10:25,18:00:17,11:49:52,,08:15:00,21:48:00,,10:27:00,225.43,06:10:25,08:15:00,2:04:35,10:27:00,18:00:17,21:48:00,3:47:43,1:22:52,10:27:00,3:47:43,,,,,,,
2023-03-12,06:09:14,18:00:55,11:51:41,,08:48:00,22:50:00,,9:58:00,237.43,06:09:14,08:48:00,2:38:45,9:58:00,18:00:55,22:50:00,4:49:04,1:53:41,9:58:00,4:49:04,,,,,,,
2023-03-13,06:08:04,18:01:34,11:53:30,,09:26:00,23:55:00,,9:31:00,249.43,06:08:04,09:26:00,3:17:56,9:31:00,18:01:34,23:55:00,5:53:26,2:22:30,9:31:00,5:53:26,,,,,,,
2023-03-14,06:06:52,18:02:12,11:55:20,,10:11:00,,,10:11:00,262.43,06:06:52,10:11:00,4:04:07,10:11:00,18:02:12,00:00:00,5:57:47,1:44:20,10:11:00,5:57:47,,,,,,,
2023-03-15,06:05:41,18:02:50,11:57:09,,11:05:00,,,11:05:00,275.43,06:05:41,11:05:00,4:59:18,11:05:00,18:02:50,00:00:00,5:57:09,0:52:09,11:05:00,5:57:09,,,,,,,
2023-03-16,06:04:29,18:03:28,11:58:59,02:06:00,12:07:00,,,10:01:00,288.43,06:04:29,12:07:00,6:02:30,10:01:00,00:00:00,00:00:00,8:02:31,1:57:59,10:01:00,8:02:31,,,,,,,
